Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RALA,4426.199937,-0.776609308,0.091477543,-8.489617063,2.07E-17,2.08E-15
MED4,1293.435723,-0.776499067,0.142065685,-5.465774999,4.61E-08,1.16E-06
SELENOK,4882.178381,-0.774824521,0.105607686,-7.336819416,2.19E-13,1.35E-11
UCA1,2738.839307,-0.774264651,0.128000156,-6.048935215,1.46E-09,4.77E-08
NDUFS6,8349.250434,-0.774016997,0.106065861,-7.297512968,2.93E-13,1.76E-11
SPCS2,2327.283058,-0.773807644,0.10240953,-7.556012097,4.16E-14,2.79E-12
CALM3,4459.114742,-0.773631875,0.126126316,-6.133786365,8.58E-10,2.93E-08
MAL,4303.904426,-0.772802341,0.101222758,-7.634669905,2.26E-14,1.59E-12
GTF2B,1308.968324,-0.772485399,0.108869383,-7.095524739,1.29E-12,7.12E-11
PSMD10,812.173021,-0.771599113,0.129177773,-5.97315693,2.33E-09,7.41E-08
GRPEL1,1164.46307,-0.770156174,0.144151867,-5.342672214,9.16E-08,2.17E-06
CIAO2A,2140.831788,-0.767909918,0.111939139,-6.860066305,6.88E-12,3.39E-10
TM2D1,1088.738882,-0.767759727,0.135066943,-5.684290404,1.31E-08,3.63E-07
SRSF7,4537.210501,-0.767412431,0.150989834,-5.082543721,3.72E-07,7.67E-06
FTH1,20624.42759,-0.766828628,0.08086041,-9.483363035,2.46E-21,3.68E-19
CIR1,4763.485396,-0.765071753,0.091696148,-8.34355387,7.21E-17,6.76E-15
IFT20,2725.363314,-0.762126318,0.087665559,-8.693565979,3.51E-18,3.87E-16
AKR1C3,4455.029753,-0.761688034,0.095075234,-8.011424198,1.13E-15,9.18E-14
MTRES1,1772.383401,-0.760323781,0.128128726,-5.934061807,2.96E-09,9.24E-08
EIF5A,2059.041285,-0.758596069,0.142127654,-5.33742765,9.43E-08,2.22E-06
POLB,999.6633789,-0.758108702,0.114960654,-6.594505801,4.27E-11,1.85E-09
RPL17,16716.4465,-0.7539593,0.068717194,-10.97191628,5.22E-28,1.73E-25
TMEM160,880.8360074,-0.753405677,0.148239812,-5.082343712,3.73E-07,7.67E-06
PPP4R2,564.1058722,-0.752804397,0.14032357,-5.364775108,8.11E-08,1.94E-06
RAB2A,1708.319325,-0.751239545,0.142807888,-5.260490543,1.44E-07,3.25E-06
DYNLL1,17887.16497,-0.749376888,0.089350726,-8.386914353,4.99E-17,4.76E-15
RPL6,110713.3937,-0.747998417,0.079422626,-9.417951195,4.60E-21,6.64E-19
GLCE,1559.909363,-0.747913697,0.102473082,-7.298635697,2.91E-13,1.75E-11
C12orf29,1984.11821,-0.745741824,0.143460749,-5.198228996,2.01E-07,4.42E-06
TPM4,1902.486056,-0.744697995,0.126849154,-5.870736777,4.34E-09,1.31E-07
MRPL22,8724.167316,-0.738814605,0.110667711,-6.675972609,2.46E-11,1.11E-09
HAUS2,922.6998636,-0.737907848,0.121668881,-6.064885606,1.32E-09,4.33E-08
LINC02864,891.387681,-0.73687527,0.136264623,-5.407678501,6.38E-08,1.54E-06
CALM2,16978.70488,-0.736352009,0.07787838,-9.455153137,3.23E-21,4.73E-19
PTS,6741.245187,-0.734840174,0.075796391,-9.69492301,3.17E-22,5.44E-20
COX7B,18658.10095,-0.734418618,0.084910287,-8.649347944,5.18E-18,5.52E-16
CMC2,2195.299828,-0.731982912,0.097539216,-7.504498611,6.17E-14,4.07E-12
ETFA,4323.203001,-0.731446068,0.127381828,-5.742153977,9.35E-09,2.67E-07
LDHA,20096.68957,-0.728600029,0.095527062,-7.627158352,2.40E-14,1.68E-12
RPL5,162671.6458,-0.72725474,0.082919915,-8.770567895,1.78E-18,1.98E-16
COX6A1,14404.17314,-0.725594385,0.069184211,-10.48786092,9.82E-26,2.48E-23
NDUFS4,4920.668127,-0.725109597,0.075945497,-9.547762861,1.33E-21,2.09E-19
SAR1A,5733.160295,-0.724014213,0.094574643,-7.655479226,1.93E-14,1.37E-12
UBE2E3,2202.73322,-0.723608377,0.096839647,-7.472232727,7.88E-14,5.05E-12
POLR1H,1434.687499,-0.723598859,0.110249497,-6.563284909,5.26E-11,2.27E-09
ATF1,632.1860424,-0.723416271,0.138591054,-5.219790519,1.79E-07,3.98E-06
CTSH,874.7283844,-0.721402632,0.141947065,-5.08219479,3.73E-07,7.67E-06
MTERF4,919.2033241,-0.719708801,0.131492625,-5.473377709,4.42E-08,1.12E-06
MRPS22,1264.170414,-0.718368472,0.141450503,-5.078585478,3.80E-07,7.79E-06
AKR1C2,14297.72217,-0.717605334,0.086524326,-8.293683061,1.10E-16,1.01E-14
TMSB4X,23886.78405,-0.712728649,0.090210595,-7.900720004,2.77E-15,2.16E-13
ISCU,5167.102432,-0.710494268,0.082336939,-8.629107168,6.18E-18,6.51E-16
PAICS,1988.154167,-0.708917348,0.109616667,-6.467240524,9.98E-11,4.05E-09
ANAPC13,1271.238488,-0.707376976,0.114821969,-6.16064141,7.25E-10,2.51E-08
SRSF5,1713.458928,-0.70670184,0.101199525,-6.983252563,2.88E-12,1.51E-10
DUT,2584.620059,-0.704496951,0.094163878,-7.481605135,7.34E-14,4.76E-12
